WARNING: src/modules/memory/instruction_memory.v:13: $readmemb(data/inst.mem): Not enough words in the file for the requested range [0:63].
                   0 ** Start Simulation **
                   0 Instruction Memory 
VCD info: dumpfile sim.vcd opened for output.
                   0 [PC] pc :          x
                3485 [PC] pc :         88
                3495 [PC] pc :         84
                3515 [PC] pc :         88
                3525 [PC] pc :         84
                3545 [PC] pc :         88
                3555 [PC] pc :         84
                3575 [PC] pc :         88
                3585 [PC] pc :         84
                3605 [PC] pc :         88
                3615 [PC] pc :         84
                3635 [PC] pc :         88
                3645 [PC] pc :         84
                3665 [PC] pc :         88
                3675 [PC] pc :         84
                3695 [PC] pc :         88
                3705 [PC] pc :         84
                3725 [PC] pc :         88
                3735 [PC] pc :         84
                3755 [PC] pc :         88
                3765 [PC] pc :         84
                3785 [PC] pc :         88
                3795 [PC] pc :         84
                3815 [PC] pc :         88
                3825 [PC] pc :         84
                3845 [PC] pc :         88
                3855 [PC] pc :         84
                3875 [PC] pc :         88
                3885 [PC] pc :         84
                3905 [PC] pc :         88
                3915 [PC] pc :         84
                3935 [PC] pc :         88
                3945 [PC] pc :         84
                3965 [PC] pc :         88
                3975 [PC] pc :         84
                3995 [PC] pc :         88
                4005 [PC] pc :         84
                4025 [PC] pc :         88
                4035 [PC] pc :         84
                4055 [PC] pc :         88
                4060 ** End Simulation **
                4060 REGISTER FILE
                4060 Reg[          0]:           0 (00000000000000000000000000000000)
                4060 Reg[          1]:           1 (00000000000000000000000000000001)
                4060 Reg[          2]:           2 (00000000000000000000000000000010)
                4060 Reg[          3]:           3 (00000000000000000000000000000011)
                4060 Reg[          4]:           4 (00000000000000000000000000000100)
                4060 Reg[          5]:           5 (00000000000000000000000000000101)
                4060 Reg[          6]:           6 (00000000000000000000000000000110)
                4060 Reg[          7]:           7 (00000000000000000000000000000111)
                4060 Reg[          8]:           8 (00000000000000000000000000001000)
                4060 Reg[          9]:           9 (00000000000000000000000000001001)
                4060 Reg[         10]:          10 (00000000000000000000000000001010)
                4060 Reg[         11]:          11 (00000000000000000000000000001011)
                4060 Reg[         12]:          12 (00000000000000000000000000001100)
                4060 Reg[         13]:          13 (00000000000000000000000000001101)
                4060 Reg[         14]:          14 (00000000000000000000000000001110)
                4060 Reg[         15]:          15 (00000000000000000000000000001111)
                4060 Reg[         16]:           9 (00000000000000000000000000001001)
                4060 Reg[         17]:           4 (00000000000000000000000000000100)
                4060 Reg[         18]:          15 (00000000000000000000000000001111)
                4060 Reg[         19]:          16 (00000000000000000000000000010000)
                4060 Reg[         20]:          16 (00000000000000000000000000010000)
                4060 Reg[         21]:          15 (00000000000000000000000000001111)
                4060 Reg[         22]:           3 (00000000000000000000000000000011)
                4060 Reg[         23]:           3 (00000000000000000000000000000011)
